날짜,취사용,개별난방용,중앙난방용,자가열전용,소 계,일반용,업무난방용,냉방용,산업용,수송용(CNG),수송용(BIO),열병합용,연료전지용,열전용설비용,주한미군,열병합용1,열병합용2
2017-01-01,42275,3733187,151576,87529,4014567,408670,147512,176037,1084562,291001,3169," 51,065 ",32073,588,6652,50908,157
2017-02-01,45734,4375013,152828,77551,4651126,402907,163903,199297,1055242,273203,6336," 35,298 ",28004,669,6567,35199,99
2017-03-01,36663,3554633,126182,57014,3774492,351285,128121,126404,1033303,304442,7787," 42,307 ",32335,937,5503,42150,157
2017-04-01,36573,2881418,93582,26875,3038448,359037,93143,65491,1075726,295855,5780," 32,037 ",30377,976,1888,31776,261
2017-05-01,33825,1471174,40535,9281,1554815,272203,40697,36184,960240,317483,2088," 29,458 ",31095,424,1063,29236,222
2017-06-01,32719,798493,29301,4714,865227,249664,25717,104483,942413,315379,673," 25,556 ",30839,413,761,25439,117
2017-07-01,31780,584184,19733,3286,638983,224229,21003,202580,861805,332236,4373," 25,538 ",32018,499,695,25538,0
2017-08-01,32267,438946,13067,2600,486880,195243,17214,229668,800559,326867,2773," 25,092 ",31204,651,993,25092,0
2017-09-01,33664,414878,18521,3494,470557,207608,19239,173558,980558,314471,3843," 23,776 ",30649,586,959,23537,239
2017-10-01,30622,487299,29792,10597,558310,208195,20065,62305,763976,299095,1924," 27,410 ",35508,598,1436,26485,925
2017-11-01,40595,1259922,82659,40178,1423354,288074,45942,40692,1019108,310741,2790," 32,865 ",29288,752,5017,32590,275
2017-12-01,41152,2925732,151664,82994,3201542,393743,131903,181197,1171811,317484,3840," 41,794 ",34149,667,9244,41553,241
2018-01-01,43054,4679814,152960,93026,4968854,428463,163948,206358,1078060,305808,3309," 41,528 ",34532,2873,11611,41380,148
2018-02-01,44214,5058512,156244,84000,5342970,453148,189586,245540,1123775,273997,5000," 37,152 ",30970,2439,9290,37061,91
2018-03-01,39906,4247471,110994,52608,4450979,332752,123328,114781,951353,305432,10560," 34,224 ",28635,1046,6354,33987,237
2018-04-01,35028,2839803,79322,23281,2977434,341057,81825,57946,993751,299989,7343," 31,649 ",32927,1137,2954,31465,184
2018-05-01,32176,1546735,38806,7981,1625698,274359,40330,32860,959820,314264,8306," 31,452 ",34238,428,1727,31213,239
2018-06-01,31537,930546,24312,3835,990230,250354,26354,98109,943076,294674,8876," 25,247 ",29558,406,1301,25034,213
2018-07-01,30127,553334,16238,2641,602340,216348,19336,157730,800874,314227,2255," 25,060 ",34262,632,1067,25060,0
